"","ScoringCrediticio","Edad","BalanceCuenta","CantidadProductos","SalarioEstimado","DejaBanco"
"1478",678,39,0,1,185366.56,"0"
"1479",686,35,0,1,8816.37,"0"
"1480",658,21,0,2,154279.87,"0"
"1481",604,36,113546.3,1,134875.37,"0"
"1482",723,37,94661.53,2,121239.65,"0"
"1483",771,67,0,2,51219.8,"0"
"1484",624,46,0,2,62825.03,"0"
"1485",598,40,0,1,68462.59,"1"
"1486",702,45,74989.58,1,171014.69,"0"
"1487",517,39,0,2,12465.51,"0"
"1488",850,49,0,1,25867.67,"1"
"1489",410,33,125789.69,1,66333.56,"1"
"1490",558,25,111363.1,2,197264.35,"0"
"1491",590,29,166930.76,2,122487.73,"0"
"1492",558,47,0,2,103787.28,"0"
"1493",698,37,98400.61,2,25017.28,"0"
"1494",780,71,142550.25,2,122506.78,"0"
"1495",850,31,146587.3,1,89874.82,"0"
"1496",581,24,159203.71,1,102517.83,"1"
"1497",788,37,141541.25,1,66013.27,"0"
"1498",727,61,128213.96,2,188729.08,"1"
"1499",594,38,96858.35,1,77511.45,"0"
"1500",582,33,122394,1,22113.93,"0"
"1501",765,34,86055.17,2,104220.5,"0"
"1502",730,38,118866.36,1,163317.5,"0"
"1503",696,40,153639.11,1,138351.68,"0"
"1504",482,38,124976.19,1,35848.12,"0"
"1505",687,34,125474.44,1,198929.84,"0"
"1506",644,37,0,2,96442.86,"0"
"1507",567,54,92316.31,2,158590.66,"1"
"1508",773,25,135903.33,1,73656.38,"0"
"1509",544,47,105245.21,1,99922.08,"1"
"1510",724,48,110463.25,2,80552.11,"1"
"1511",828,47,109876.82,2,83611.45,"1"
"1512",595,33,0,2,41447.86,"0"
"1513",730,37,124053.03,1,118591.67,"0"
"1514",718,28,65643.3,1,28760.99,"0"
"1515",482,48,69329.47,1,102640.52,"1"
"1516",658,36,174060.46,1,94925.62,"0"
"1517",440,42,0,2,49826.68,"0"
"1518",628,34,158741.43,2,126192.54,"0"
"1519",814,31,87772.52,1,188516.45,"0"
"1520",635,65,117325.54,1,155799.86,"1"
"1521",674,31,0,1,128954.05,"0"
"1522",526,36,0,2,97767.63,"0"
"1523",759,46,0,1,138380.11,"0"
"1524",599,25,120383.41,1,24903.09,"0"
"1525",614,44,0,2,104930.46,"0"
"1526",586,29,0,2,142238.54,"0"
"1527",575,28,0,1,10666.05,"0"
"1528",445,45,0,2,90977.48,"0"
"1529",592,34,0,2,20460.2,"0"
"1530",815,28,0,2,185547.71,"0"
"1531",643,35,0,2,41549.64,"0"
"1532",631,33,123246.7,1,112687.57,"0"
"1533",725,31,0,2,59650.42,"0"
"1534",642,38,0,2,171463.83,"0"
"1535",580,61,125921.37,1,94677.83,"0"
"1536",683,40,95053.1,1,116816.54,"1"
"1537",609,31,103837.75,1,150218.11,"0"
"1538",656,34,59877.33,1,14032.62,"1"
"1539",600,31,0,2,121555.51,"0"
"1540",713,44,63438.91,1,64375.4,"0"
"1541",723,21,0,2,24847.02,"0"
"1542",592,62,0,1,100941.57,"0"
"1543",679,33,0,2,69608.48,"0"
"1544",461,74,186445.31,2,196767.83,"0"
"1545",592,38,119278.01,2,19370.73,"0"
"1546",634,45,0,2,17622.82,"0"
"1547",733,30,83319.28,1,57769.2,"0"
"1548",663,52,136298.65,1,144593.3,"1"
"1549",785,36,99806.85,1,36976.52,"0"
"1550",548,49,108437.89,1,127022.87,"1"
"1551",560,38,83714.41,1,33245.97,"0"
"1552",660,19,127649.64,1,40368.65,"0"
"1553",542,67,129431.36,1,21343.74,"0"
"1554",512,41,145150.28,1,64869.32,"1"
"1555",770,70,110738.89,1,22666.77,"1"
"1556",710,36,116085.06,1,58601.61,"0"
"1557",689,40,78119.59,4,119259.34,"1"
"1558",556,40,125909.85,1,95124.4,"0"
"1559",552,36,0,2,132547.02,"0"
"1560",642,40,0,2,183963.34,"0"
"1561",629,28,108601,1,119647.7,"0"
"1562",420,34,135549.9,1,149471.13,"1"
"1563",710,40,0,2,162878.96,"0"
"1564",850,35,0,1,80992.8,"0"
"1565",672,45,0,1,92027.69,"1"
"1566",608,48,75801.74,1,125762.95,"0"
"1567",590,31,112211.61,1,26261.42,"0"
"1568",701,26,83600.24,1,59195.05,"0"
"1569",601,29,0,1,80393.27,"0"
"1570",646,50,142644.64,2,142208.5,"1"
"1571",677,58,0,1,168650.4,"0"
"1572",649,41,115897.73,1,143544.48,"0"
"1573",676,27,0,1,107955.67,"0"
"1574",608,35,0,2,143463.28,"0"
"1575",600,50,94684.27,1,50488.91,"0"
"1576",670,42,112333.63,1,65706.86,"0"
"1577",583,39,129299.28,2,73107.6,"0"
"1578",753,32,177729.13,1,161642.08,"0"
"1579",610,46,116886.59,1,107973.44,"0"
"1580",727,62,0,2,38652.96,"0"
"1581",770,46,141788.63,2,164967.21,"0"
"1582",609,26,126392.18,1,43651.49,"0"
"1583",518,46,0,2,76515.79,"0"
"1584",563,34,139810.34,1,152417.79,"0"
"1585",663,64,0,2,15876.52,"0"
"1586",430,60,73937.02,1,161937.62,"1"
"1587",694,39,107042.74,1,102284.2,"0"
"1588",716,29,87946.39,1,182531.74,"0"
"1589",558,32,108262.87,1,6935.31,"0"
"1590",682,46,0,1,4654.28,"0"
"1591",521,77,0,2,49054.1,"0"
"1592",632,28,155519.59,1,1843.24,"0"
"1593",708,44,161887.81,2,84870.23,"0"
"1594",737,36,0,1,188670.9,"1"
"1595",791,28,0,1,174435.48,"0"
"1596",612,63,126473.33,1,147545.65,"0"
"1597",439,66,0,1,65535.56,"0"
"1598",741,32,0,1,64839.23,"0"
"1599",599,43,0,1,170347.1,"0"
"1600",850,40,97339.99,1,88815.25,"0"
"1601",713,53,115029.4,1,191521.32,"1"
"1602",520,30,145222.99,2,145160.96,"0"
"1603",846,41,0,3,3440.47,"1"
"1604",531,64,175754.87,2,60721.4,"0"
"1605",714,26,119545.48,2,65482.94,"0"
"1606",616,39,121704.32,2,55556.3,"0"
"1607",658,43,140260.36,2,2748.72,"0"
"1608",588,24,0,2,140586.08,"0"
"1609",750,34,112822.26,1,150401.53,"1"
"1610",611,29,78885.88,2,26927.69,"0"
"1611",497,27,149400.27,1,167522.19,"0"
"1612",735,36,0,2,105152.17,"0"
"1613",749,30,0,2,126551.65,"0"
"1614",770,37,0,2,22710.72,"0"
"1615",647,41,138937.35,1,101617.64,"1"
"1616",635,72,74812.84,1,27448.33,"0"
"1617",690,26,116318.23,1,83253.05,"0"
"1618",576,28,119336.29,2,58976.85,"0"
"1619",529,39,82766.43,1,122925.44,"0"
"1620",768,42,NA,3,60686.4,"0"
"1621",642,26,144238.7,1,184399.76,"0"
"1622",521,38,0,2,51454.06,"0"
"1623",530,25,162560.32,1,64129.03,"0"
"1624",515,48,129387.94,1,147955.91,"1"
"1625",739,29,59385.98,2,105533.96,"0"
"1626",541,34,128743.55,1,134851.12,"0"
"1627",556,61,117419.35,1,94153.83,"0"
"1628",447,32,0,1,151815.76,"0"
"1629",543,57,106138.33,2,120657.32,"1"
"1630",670,40,164948.98,3,177028,"1"
"1631",NA,26,162923.85,1,98368.24,"0"
"1632",564,27,0,1,7819.76,"0"
"1633",669,26,0,2,197594.34,"0"
"1634",768,28,109118.05,2,50911.41,"0"
"1635",661,31,136067.82,2,65567.91,"0"
"1636",711,42,177626.77,3,16392.72,"1"
"1637",776,38,112281.7,1,89893.6,"0"
"1638",850,27,96654.72,2,152740.16,"0"
"1639",581,47,122949.14,1,180251.68,"1"
"1640",601,47,64430.06,2,96517.97,"0"
"1641",618,33,0,2,77550.18,"0"
"1642",659,48,123593.22,2,82469.06,"1"
"1643",759,35,147936.42,1,106785.7,"0"
"1644",529,43,123815.86,1,78463.99,"1"
"1645",696,30,0,2,196134.44,"0"
"1646",748,39,157371.54,1,97734.3,"0"
"1647",623,44,0,2,167162.43,"0"
"1648",646,33,0,2,198208,"0"
"1649",684,34,0,2,65257.57,"0"
"1650",510,22,156834.34,1,44374.44,"0"
"1651",655,27,0,2,51620.94,"0"
"1652",587,33,148163.57,1,122925.4,"0"
"1653",594,18,132694.73,1,167689.56,"0"
"1654",721,33,0,2,117626.9,"0"
"1655",588,48,143279.58,2,31580.8,"1"
"1656",811,52,76915.4,1,146359.81,"1"
"1657",624,27,104848.68,1,167387.36,"0"
"1658",660,35,0,2,13218.6,"0"
"1659",625,31,77743.01,2,75335.68,"0"
"1660",677,34,126729.41,1,26106.39,"1"
"1661",788,34,156478.62,1,181196.76,"0"
"1662",604,34,0,2,38587.7,"0"
"1663",685,43,108589.47,2,194808.51,"0"
"1664",557,42,177822.03,1,150944.31,"1"
"1665",615,36,0,1,27011.8,"1"
"1666",772,30,99785.28,2,197238.03,"0"
"1667",630,31,0,2,169802.73,"0"
"1668",569,42,0,1,83629.6,"1"
"1669",595,41,0,2,5967.09,"0"
"1670",705,44,106731.58,1,137419.87,"1"
"1671",633,42,0,2,56865.62,"0"
"1672",641,40,0,1,151648.66,"1"
"1673",682,38,107192.38,1,15669.17,"0"
"1674",710,23,0,2,134188.11,"0"
"1675",704,39,111525.02,1,199484.96,"0"
"1676",633,59,103996.74,1,103159.11,"0"
"1677",841,41,0,2,193093.77,"0"
"1678",678,37,113383.07,1,135123.96,"0"
"1679",697,25,165686.11,2,15467.98,"0"
"1680",521,49,127948.57,1,182765.14,"0"
"1681",625,40,141267.67,1,177397.49,"0"
"1682",616,42,117899.95,2,150266.81,"0"
"1683",583,41,77647.6,1,190429.52,"0"
"1684",712,37,106881.5,2,169386.81,"0"
"1685",660,36,84438.57,1,181449.51,"0"
"1686",633,37,156091.97,1,72008.61,"0"
"1687",671,31,41299.03,1,102681.32,"0"
"1688",707,35,0,3,94148.3,"0"
"1689",636,67,136709.35,1,66753.1,"1"
"1690",501,40,0,2,141946.92,"0"
"1691",850,81,0,2,44827.47,"0"
"1692",580,39,119688.81,1,137041.26,"0"
"1693",578,34,175111.11,1,74858.3,"0"
"1694",701,35,0,2,65765.22,"0"
"1695",609,39,141675.23,1,175664.25,"0"
"1696",464,33,147493.7,2,100447.53,"0"
"1697",740,39,0,2,19047.23,"0"
"1698",775,30,191091.74,2,96170.38,"0"
"1699",850,45,174088.3,4,5669.31,"1"
"1700",748,40,95297.11,1,171515.84,"0"
"1701",656,27,118627.16,2,160835.3,"0"
"1702",794,35,0,2,68730.91,"0"
"1703",790,31,151290.16,1,172437.12,"0"
"1704",545,44,127536.44,1,108398.63,"0"
"1705",576,36,166287.85,1,23305.85,"0"
"1706",616,41,113220.2,2,114072.91,"0"
"1707",775,30,0,2,57461.13,"0"
"1708",850,45,103909.86,1,60083.11,"1"
"1709",697,34,126558.92,1,73334.43,"0"
"1710",667,27,138032.15,1,166317.71,"0"
"1711",600,34,0,2,3756.23,"0"
"1712",621,27,74298.43,1,52581.96,"0"
"1713",795,38,125903.22,2,127068.92,"0"
"1714",756,31,122647.32,1,61666.87,"0"
"1715",680,43,0,2,58761.33,"0"
"1716",629,36,161757.87,2,146371.72,"0"
"1717",574,52,115532.52,1,196257.67,"0"
"1718",803,28,0,2,159654,"0"
"1719",698,52,107304.39,3,28806.32,"1"
"1720",596,20,187294.46,1,103456.47,"0"
"1721",796,30,137262.71,2,62905.29,"0"
"1722",596,34,99441.21,2,4802.27,"0"
"1723",595,34,87967.42,2,156309.52,"0"
"1724",515,65,92113.61,1,142548.33,"0"
"1725",702,40,103549.24,1,9712.52,"1"
"1726",744,44,0,2,189016.14,"0"
"1727",512,30,0,2,88827.31,"0"
"1728",482,35,133111.73,1,79957.95,"0"
"1729",698,48,101238.24,2,177815.87,"1"
"1730",595,30,100683.54,1,178361.04,"0"
"1731",517,53,109172.88,1,54676.1,"1"
"1732",625,22,0,2,157072.91,"0"
"1733",710,41,149155.53,2,42131.26,"1"
"1734",487,37,0,2,126477.41,"0"
"1735",722,48,138311.76,1,3472.63,"1"
"1736",712,35,124616.23,1,69320.97,"0"
"1737",554,36,157780.93,2,6089.13,"0"
"1738",846,34,142388.61,2,68393.64,"1"
"1739",550,25,0,2,184221.11,"0"
"1740",486,27,0,2,28823.04,"0"
"1741",660,61,155931.11,1,158338.39,"0"
"1742",630,49,0,2,162858.29,"0"
"1743",595,46,142360.62,2,48421.4,"1"
"1744",644,40,137285.26,4,77063.63,"1"
"1745",647,47,105603.21,2,157360.9,"0"
"1746",507,36,83543.37,1,140134.43,"0"
"1747",589,55,119961.48,1,65156.83,"1"
"1748",591,40,99886.42,2,88695.19,"0"
"1749",631,37,131519.49,2,51752.18,"0"
"1750",657,41,109402.13,1,66463.62,"0"
"1751",553,32,64082.09,1,109159.58,"0"
"1752",596,33,139451.67,1,63142.12,"0"
"1753",634,45,0,4,101039.53,"1"
"1754",547,51,0,2,56908.41,"0"
"1755",757,31,149085.9,2,197077.36,"0"
"1756",499,29,148051.52,1,118623.94,"0"
"1757",586,32,0,2,31635.99,"0"
"1758",561,49,0,2,12513.07,"0"
"1759",623,35,130557.24,1,47880.71,"0"
"1760",684,30,0,2,83473.82,"0"
"1761",497,35,110053.62,2,92887.06,"0"
"1762",726,48,99906.19,1,64323.24,"0"
"1763",709,38,0,2,81452.29,"0"
"1764",671,34,164757.56,1,110748.88,"0"
"1765",489,38,126444.08,2,82662.73,"0"
"1766",705,31,119794.67,1,182528.44,"0"
"1767",593,46,98752.51,1,145560.38,"0"
"1768",684,35,137179.39,1,37264.11,"0"
"1769",796,23,146584.19,2,125445.8,"0"
"1770",600,30,119755,1,21852.91,"0"
"1771",461,51,119889.84,1,56767.67,"1"
"1772",714,34,0,2,80234.14,"0"
"1773",669,30,139872.81,1,188795.85,"0"
"1774",553,47,116528.15,1,145704.19,"1"
"1775",551,31,0,2,185105.44,"0"
"1776",673,34,42157.08,1,20598.59,"1"
"1777",850,41,176958.46,2,125806.3,"0"
"1778",486,63,97009.15,1,85101,"0"
"1779",581,37,104255.03,1,86609.37,"0"
"1780",597,38,115702.67,2,25059.05,"0"
"1781",755,34,0,2,158816.03,"0"
"1782",699,41,200117.76,2,94142.35,"0"
"1783",837,49,103302.37,1,50974.57,"0"
"1784",524,64,0,1,136079.64,"1"
"1785",725,36,118851.05,1,102747.02,"0"
"1786",516,46,62212.29,1,171681.86,"1"
"1787",596,29,0,2,1591.19,"0"
"1788",772,34,111565.91,1,121073.23,"0"
"1789",812,25,54817.55,1,131660.31,"0"
"1790",611,33,0,2,3729.89,"0"
"1791",769,39,0,1,21016,"0"
"1792",684,59,122471.09,1,15807.07,"0"
"1793",571,35,0,2,84569.13,"0"
"1794",699,36,123601.56,2,103557.85,"0"
"1795",667,36,0,2,40062.29,"0"
"1796",658,50,0,2,52137.73,"0"
"1797",498,44,120702.67,2,98175.74,"0"
"1798",651,42,116646.76,1,44731.8,"1"
"1799",652,80,0,2,188603.07,"0"
"1800",637,40,154309.67,1,125334.16,"1"
"1801",504,43,134740.19,2,181430.91,"0"
"1802",653,35,0,2,45956.05,"0"
"1803",623,34,0,1,24255.21,"0"
"1804",620,21,0,2,154882.79,"0"
"1805",647,43,0,2,78488.39,"0"
"1806",561,32,0,2,84871.99,"0"
"1807",712,29,147199.07,1,84932.4,"0"
"1808",513,72,98903.06,1,81251.24,"0"
"1809",685,35,0,1,167033.83,"0"
"1810",701,23,0,2,38960.59,"0"
"1811",652,37,145219.3,1,159132.83,"0"
"1812",850,43,0,2,173851.11,"0"
"1813",682,30,0,1,161465.31,"0"
"1814",749,60,0,1,17978.68,"1"
"1815",772,47,152347.01,1,17671.78,"0"
"1816",602,29,103907.28,1,161229.84,"0"
"1817",512,32,123403.85,2,80120.19,"0"
"1818",783,58,127539.3,1,96590.39,"1"
"1819",576,52,170228.59,2,148477.57,"1"
"1820",692,28,95059.02,2,44420.18,"0"
"1821",648,35,0,2,122899.01,"0"
"1822",758,47,95523.16,1,73294.48,"0"
"1823",701,34,105588.66,1,74694.41,"0"
"1824",559,31,127070.73,1,160941.78,"0"
"1825",675,57,0,2,95463.29,"0"
"1826",782,34,147422.44,1,42143.61,"0"
"1827",632,28,118890.81,1,145157.97,"0"
"1828",699,29,125689.29,1,151623.71,"0"
"1829",668,42,187534.79,1,32900.41,"1"
"1830",703,45,0,1,182784.11,"1"
"1831",524,32,144875.71,1,187740.04,"0"
"1832",556,37,145018.64,2,90928.02,"1"
"1833",611,49,115488.52,2,138656.81,"1"
"1834",779,33,158456.76,1,197000.92,"1"
"1835",640,33,84719.13,2,113048.79,"0"
"1836",722,47,88011.4,1,90655.94,"1"
"1837",NA,61,125397.21,1,182184.09,"1"
"1838",744,39,95161.75,1,19409.77,"0"
"1839",524,37,127480.58,2,179634.69,"0"
"1840",701,43,160416.56,1,37266.43,"0"
"1841",694,31,0,1,35593.18,"0"
"1842",548,29,83442.98,1,177017.39,"0"
"1843",615,58,72309.3,1,85687.09,"1"
"1844",708,41,0,1,157003.99,"0"
"1845",535,37,175534.78,2,9241.52,"0"
"1846",600,46,95502.21,1,19842.18,"0"
"1847",809,48,0,1,160976.85,"1"
"1848",602,34,0,2,77414.45,"0"
"1849",667,31,119266.69,1,28257.63,"0"
"1850",608,33,0,1,79304.38,"1"
"1851",562,31,127237.25,2,143317.42,"0"
"1852",484,54,134388.11,1,49954.79,"1"
"1853",738,31,79019.8,1,18606.23,"0"
"1854",577,33,0,2,57975.8,"0"
"1855",748,41,91621.69,1,71139.31,"0"
"1856",736,43,176134.54,1,52856.88,"0"
"1857",515,40,109542.29,1,166370.81,"0"
"1858",809,33,148055.74,1,199203.21,"0"
"1859",711,38,0,2,68487.51,"0"
"1860",678,26,0,2,4989.33,"0"
"1861",716,44,0,1,152108.47,"0"
"1862",684,63,81245.79,1,69643.31,"1"
"1863",579,37,152212.88,2,120219.14,"0"
"1864",585,38,0,1,87363.56,"0"
"1865",813,59,135078.41,1,187636.06,"1"
"1866",595,41,150463.11,2,81548.38,"0"
"1867",608,41,89763.84,1,199304.74,"1"
"1868",670,35,103465.02,2,174627.06,"0"
"1869",664,53,187602.18,1,186392.99,"1"
"1870",482,35,147813.05,2,109029.72,"0"
"1871",761,37,132730.17,1,199293.01,"0"
"1872",659,38,0,2,132809.18,"0"
"1873",617,30,0,1,92621.9,"0"
"1874",540,31,118158.74,1,158027.57,"0"
"1875",629,61,0,2,133672.61,"0"
"1876",519,39,97700.02,1,30709.03,"0"
"1877",487,46,135070.58,2,44244.49,"1"
"1878",658,36,0,2,84927.42,"0"
"1879",805,26,0,2,25042.1,"0"
"1880",850,53,65407.16,2,182633.63,"1"
"1881",657,37,95845.6,1,122218.23,"0"
"1882",720,60,115920.62,2,157552.08,"1"
"1883",809,33,0,1,124045.65,"0"
"1884",701,42,86167.82,1,153342.38,"0"
"1885",582,31,0,2,33747.03,"0"
"1886",546,45,0,1,197789.83,"1"
"1887",554,31,135470.9,1,107074.81,"0"
"1888",679,58,109327.65,1,3829.13,"0"
"1889",707,42,0,2,152944.39,"0"
"1890",733,34,100337.96,3,48559.19,"1"
"1891",597,40,101993.12,1,94774.12,"0"
"1892",652,33,124832.51,1,195877.06,"0"
"1893",655,34,0,2,159638.77,"0"
"1894",669,43,160474.59,1,95963.14,"0"
"1895",646,40,93680.43,2,179473.26,"0"
"1896",449,32,155619.36,1,166692.03,"0"
"1897",483,50,0,2,111020.24,"0"
"1898",685,33,174912.72,1,43932.54,"0"
"1899",524,29,0,2,105448.74,"0"
"1900",778,65,0,1,77867.23,"0"
"1901",741,37,105261.76,2,149503.54,"0"
"1902",586,64,0,2,53710.23,"0"
"1903",682,61,73688.2,1,172141.33,"0"
"1904",799,52,161209.66,1,89081.41,"0"
"1905",706,54,117444.51,1,186238.85,"0"
"1906",705,39,144102.32,1,11682.36,"0"
"1907",567,54,96402.96,1,52035.29,"1"
"1908",687,38,117633.28,1,88396.6,"0"
"1909",712,40,109308.79,2,120158.72,"1"
"1910",815,45,0,1,52885.23,"1"
"1911",579,40,45408.85,2,18732.91,"0"
"1912",601,32,93012.89,1,86957.42,"0"
"1913",621,46,141078.37,1,34580.8,"1"
"1914",584,49,172713.44,1,113860.81,"0"
"1915",682,28,200724.96,1,82872.64,"1"
"1916",561,49,102025.32,1,133051.64,"1"
"1917",608,44,126147.84,1,132424.69,"1"
"1918",766,52,92510.9,2,66193.61,"0"
"1919",699,39,0,1,80963.92,"0"
"1920",620,28,71902.52,1,190208.23,"0"
"1921",813,29,106059.4,1,187976.88,"1"
"1922",709,41,150300.65,2,71672.86,"0"
"1923",500,37,125822.21,1,111698,"0"
"1924",621,30,101014.08,2,165257.31,"0"
"1925",481,37,0,2,44215.86,"0"
"1926",570,21,116099.82,1,148087.62,"0"
"1927",713,41,0,2,55772.04,"0"
"1928",771,32,62321.62,1,40920.59,"0"
"1929",593,50,171740.69,1,20893.61,"0"
"1930",812,33,127154.14,2,105383.49,"0"
"1931",705,35,136496.12,2,116672.02,"0"
"1932",754,48,141819.02,1,93550.53,"1"
"1933",696,66,119499.42,2,174027.3,"0"
"1934",666,47,0,1,35046.97,"1"
"1935",553,27,0,2,159800.16,"0"
"1936",619,58,152199.33,1,86022.09,"0"
"1937",554,33,117413.95,1,12766.74,"0"
"1938",678,28,109137.12,1,58814.41,"0"
"1939",478,35,92474.05,1,178626.07,"0"
"1940",582,32,116409.55,1,152790.92,"0"
"1941",753,62,0,2,136398.9,"0"
"1942",648,42,0,2,19283.14,"0"
"1943",738,38,177997.07,1,19233.41,"0"
"1944",535,38,85982.07,1,9238.35,"0"
"1945",800,39,95252.72,1,13906.34,"0"
"1946",604,30,0,2,75786.55,"0"
"1947",703,42,0,2,72500.68,"0"
"1948",490,35,107749.03,1,3937.37,"0"
"1949",619,25,0,1,145524.36,"0"
"1950",725,47,104887.43,1,86622.56,"1"
"1951",649,38,0,1,103760.53,"0"
"1952",756,37,132623.6,1,58974,"0"
"1953",569,43,0,2,52534.81,"0"
"1954",590,34,0,2,171021.44,"0"
"1955",734,40,176914.8,1,12799.23,"0"
"1956",781,35,92526.15,2,173837.54,"0"
"1957",593,26,76226.9,1,167564.82,"0"
"1958",744,39,0,1,10662.58,"0"
"1959",669,31,113000.66,1,40467.82,"0"
"1960",632,27,193125.85,1,152665.85,"0"
"1961",763,32,0,2,16725.53,"0"
"1962",538,42,0,1,152855.96,"0"
"1963",684,38,0,3,75609.84,"0"
"1964",460,27,0,2,156150.08,"1"
"1965",625,37,142711.81,1,35625.41,"0"
"1966",645,37,0,2,68987.55,"0"
"1967",611,30,0,2,148887.69,"0"
"1968",574,30,120355,1,137793.35,"0"
"1969",587,45,134980.74,1,123309.57,"1"
"1970",651,36,0,2,91652.43,"0"
"1971",577,30,92472.1,2,126434.61,"0"
"1972",610,40,0,1,149602.54,"0"
"1973",604,25,157780.84,2,58426.81,"0"
"1974",835,29,130420.2,2,NA,"0"
"1975",631,35,112392.45,2,24472.23,"0"
"1976",807,43,105799.32,2,34888.04,"1"
"1977",444,40,84350.07,1,143835.76,"0"
"1978",658,31,133003.03,1,146339.27,"1"
"1979",724,34,154485.74,2,78560.64,"0"
"1980",616,45,143129.41,2,64327.26,"0"
"1981",850,45,122311.21,1,19482.5,"0"
"1982",486,40,71340.09,1,76192.21,"0"
"1983",502,42,159660.8,3,113931.57,"1"
"1984",579,31,139729.54,1,135815.38,"0"
"1985",562,35,0,2,119899.52,"0"
"1986",764,24,98148.61,1,26843.76,"0"
"1987",744,31,120718.28,1,58961.49,"0"
"1988",619,34,0,1,139919.38,"0"
"1989",637,41,0,2,145477.36,"0"
"1990",575,30,0,2,82222.86,"0"
"1991",NA,35,108269.2,2,174969.92,"0"
"1992",595,26,118547.72,1,151192.18,"0"
"1993",690,54,0,1,12847.61,"1"
"1994",445,37,0,2,180012.39,"0"
"1995",796,51,0,2,194733.28,"0"
"1996",594,41,122545.65,2,42050.24,"0"
"1997",603,40,148897.02,1,105052.9,"0"
"1998",561,31,81480.27,2,65234.6,"0"
"1999",668,42,150461.07,1,108139.23,"0"
"2000",590,45,81828.22,1,52167.97,"0"
"2001",477,48,129250,2,157937.35,"0"
"2002",580,32,142188.2,2,128028.6,"0"
"2003",512,33,176666.62,1,94670.77,"0"
"2004",734,39,0,1,95135.27,"0"
"2005",573,26,86270.93,2,90177.3,"0"
"2006",677,36,0,1,47318.75,"0"
"2007",850,42,0,2,176883.42,"0"
"2008",705,40,92889.91,1,109496.69,"0"
"2009",637,50,126345.55,1,17323,"1"
"2010",700,28,159900.38,1,22698.56,"0"
"2011",675,49,0,1,80496.71,"1"
"2012",548,44,0,1,16989.77,"0"
"2013",658,44,168396.34,1,14178.73,"0"
"2014",628,29,113146.98,2,124749.08,"0"
"2015",663,39,0,2,101168.9,"0"
"2016",508,38,166328.65,2,22614.19,"0"
"2017",491,72,91285.22,1,7032.95,"0"
"2018",705,48,114169.16,1,173273.2,"1"
"2019",668,28,107141.27,1,193018.71,"0"
"2020",433,27,0,2,153698.65,"0"
"2021",732,69,137453.43,1,110932.24,"1"
"2022",605,33,128152.82,1,147822.81,"0"
"2023",503,29,0,2,143954.99,"0"
"2024",767,45,132746.2,2,26628.88,"1"
"2025",573,35,134498.54,2,119924.8,"0"
"2026",627,55,0,1,91943.94,"1"
"2027",644,33,174571.36,1,43943.09,"0"
"2028",582,29,0,1,84012.81,"0"
"2029",667,38,144432.04,1,73963.17,"1"
"2030",703,29,122084.63,1,82824.08,"0"
"2031",711,26,128793.63,1,19262.05,"0"
"2032",640,46,0,1,156260.08,"0"
"2033",607,31,102523.88,1,166792.71,"0"
"2034",605,52,63349.75,1,108887.44,"0"
"2035",580,24,133811.78,1,17185.95,"1"
"2036",430,33,0,1,69759.91,"0"
"2037",824,38,0,2,192800.25,"0"
"2038",712,27,0,1,94544.88,"0"
"2039",753,43,0,2,109881.71,"0"
"2040",542,39,135096.77,1,14353.43,"1"
"2041",683,30,0,2,100496.84,"1"
"2042",682,38,116520.28,1,49833.5,"1"
"2043",841,34,0,2,141582.66,"0"
"2044",538,62,75051.49,1,17682.02,"1"
"2045",631,37,121801.72,2,23146.62,"0"
"2046",654,29,0,1,180345.44,"0"
"2047",714,34,141173.03,1,98896.06,"0"
"2048",802,41,0,2,134626.3,"0"
"2049",695,40,139022.24,1,193383.13,"0"
"2050",663,46,0,2,176276.1,"0"
"2051",739,37,104960.46,1,80883.82,"0"
"2052",755,38,111096.91,1,19762.88,"0"
"2053",786,33,122325.58,1,34712.34,"1"
"2054",787,38,158373.23,1,28228.35,"0"
"2055",496,29,0,2,55389.59,"0"
"2056",477,34,139959.55,2,189875.83,"0"
"2057",705,43,79974.55,1,103108.33,"0"
"2058",774,28,71264.02,2,68759.57,"0"
"2059",593,41,119703.1,2,109783.29,"0"
"2060",611,28,96381.68,2,181419.29,"0"
"2061",831,44,0,1,47729.33,"0"
"2062",634,52,0,2,176913.42,"0"
"2063",574,NA,100267.03,1,103006.27,"0"
"2064",532,37,0,2,6761.84,"0"
"2065",603,35,123407.69,1,152541.89,"1"
"2066",652,45,151421.44,1,115333.43,"0"
"2067",539,39,0,2,36692.17,"0"
"2068",660,37,97324.91,1,23291.83,"0"
"2069",736,36,0,1,70496.66,"0"
"2070",726,48,0,1,114020.06,"1"
"2071",474,37,98431.37,1,75698.44,"0"
"2072",524,28,0,2,147100.72,"0"
"2073",632,42,126115.6,1,100998.5,"0"
"2074",572,47,99353.42,1,196549.85,"1"
"2075",471,36,90063.74,2,96366.7,"0"
"2076",501,34,93244.42,1,199805.63,"0"
"2077",662,72,140301.72,1,179258.67,"0"
"2078",824,30,133634.02,1,162053.92,"0"
"2079",781,29,98759.89,1,112202.64,"0"
"2080",614,25,75212.28,1,58965.04,"0"
"2081",696,32,101160.99,1,115916.55,"0"
"2082",587,40,0,4,106174.7,"1"
"2083",526,NA,190298.89,2,191263.76,"0"
"2084",648,40,139973.65,1,667.66,"1"
